,pdays,emp.var.rate,euribor3m,nr.employed,previous,poutcome_nonexistent,poutcome_success,contact_telephone,y,y_pred
5787,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
3150,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
6365,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
33104,999.0,-1.8,1.291,5099.1,1.0,0.0,0.0,0.0,0.0,
15481,999.0,1.4,4.957,5228.1,0.0,1.0,0.0,0.0,0.0,
31878,999.0,-1.8,1.327,5099.1,0.0,1.0,0.0,1.0,0.0,
12213,999.0,1.4,4.956,5228.1,0.0,1.0,0.0,1.0,0.0,
6580,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
15657,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,0.0,0.0,
33786,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
23189,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,0.0,
24766,999.0,-0.1,4.1530000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
38648,999.0,-3.4,0.72,5017.5,0.0,1.0,0.0,0.0,0.0,
879,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
36920,999.0,-2.9,1.206,5076.2,1.0,0.0,0.0,0.0,0.0,
23601,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
27813,999.0,-1.8,1.663,5099.1,0.0,1.0,0.0,0.0,1.0,
37218,999.0,-2.9,0.8809999999999999,5076.2,0.0,1.0,0.0,0.0,1.0,
34950,999.0,-1.8,1.25,5099.1,0.0,1.0,0.0,0.0,0.0,
27528,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
30882,999.0,-1.8,1.344,5099.1,0.0,1.0,0.0,0.0,0.0,
36241,999.0,-2.9,1.266,5076.2,0.0,1.0,0.0,0.0,1.0,
36458,999.0,-2.9,1.262,5076.2,0.0,1.0,0.0,0.0,0.0,
5985,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
35194,999.0,-1.8,1.25,5099.1,1.0,0.0,0.0,0.0,0.0,
3197,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
15664,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,0.0,0.0,
25468,999.0,-0.1,4.12,5195.8,1.0,0.0,0.0,0.0,0.0,
33973,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
27770,999.0,-1.8,1.703,5099.1,0.0,1.0,0.0,0.0,0.0,
40525,999.0,-1.7,0.89,4991.6,0.0,1.0,0.0,1.0,0.0,
3586,999.0,1.1,4.859,5191.0,0.0,1.0,0.0,1.0,0.0,False
35268,999.0,-1.8,1.25,5099.1,0.0,1.0,0.0,0.0,0.0,
27905,999.0,-1.8,1.538,5099.1,0.0,1.0,0.0,0.0,0.0,
6191,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
37751,999.0,-2.9,0.8490000000000001,5076.2,0.0,1.0,0.0,0.0,1.0,
22436,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
23158,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,1.0,
40670,6.0,-1.1,0.879,4963.6,2.0,0.0,1.0,0.0,1.0,
30310,999.0,-1.8,1.365,5099.1,0.0,1.0,0.0,1.0,1.0,
23766,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,1.0,0.0,
24716,999.0,-0.1,4.191,5195.8,0.0,1.0,0.0,0.0,0.0,
16945,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
19964,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
35008,999.0,-1.8,1.25,5099.1,0.0,1.0,0.0,0.0,1.0,
35788,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
23964,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
31324,999.0,-1.8,1.334,5099.1,0.0,1.0,0.0,0.0,0.0,
22299,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
12036,999.0,1.4,4.955,5228.1,0.0,1.0,0.0,1.0,0.0,
35534,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
11319,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
35302,999.0,-1.8,1.25,5099.1,1.0,0.0,0.0,1.0,0.0,
3411,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
8367,999.0,1.4,4.864,5228.1,0.0,1.0,0.0,1.0,0.0,False
1694,999.0,1.1,4.855,5191.0,0.0,1.0,0.0,1.0,0.0,False
36064,999.0,-1.8,1.266,5099.1,1.0,0.0,0.0,0.0,0.0,
35640,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
36156,999.0,-1.8,1.27,5099.1,0.0,1.0,0.0,0.0,0.0,
14918,999.0,1.4,4.957,5228.1,0.0,1.0,0.0,0.0,0.0,
33868,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
34821,999.0,-1.8,1.266,5099.1,0.0,1.0,0.0,0.0,0.0,
29278,1.0,-1.8,1.405,5099.1,1.0,0.0,1.0,0.0,0.0,
32379,999.0,-1.8,1.3130000000000002,5099.1,0.0,1.0,0.0,0.0,0.0,
7403,999.0,1.1,4.864,5191.0,0.0,1.0,0.0,1.0,0.0,False
32925,999.0,-1.8,1.2990000000000002,5099.1,1.0,0.0,0.0,0.0,0.0,
8070,999.0,1.4,4.865,5228.1,0.0,1.0,0.0,1.0,0.0,False
23553,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
13304,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
8341,999.0,1.4,4.864,5228.1,0.0,1.0,0.0,1.0,0.0,True
37183,15.0,-2.9,0.883,5076.2,1.0,0.0,1.0,0.0,1.0,
2697,999.0,1.1,4.859,5191.0,0.0,1.0,0.0,1.0,1.0,False
29620,999.0,-1.8,1.405,5099.1,0.0,1.0,0.0,0.0,0.0,
39857,12.0,-1.7,0.72,4991.6,2.0,0.0,0.0,0.0,1.0,
21387,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
19230,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
17411,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,1.0,0.0,
17848,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,0.0,0.0,
37081,999.0,-2.9,0.996,5076.2,0.0,1.0,0.0,0.0,0.0,
29821,999.0,-1.8,1.405,5099.1,1.0,0.0,0.0,0.0,0.0,
11259,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,True
15907,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,0.0,0.0,
6437,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
23895,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
23944,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,1.0,0.0,
4520,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
32580,999.0,-1.8,1.2990000000000002,5099.1,0.0,1.0,0.0,0.0,0.0,
36454,999.0,-2.9,1.262,5076.2,1.0,0.0,0.0,0.0,0.0,
35541,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
27055,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
25066,999.0,-0.1,4.1530000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
36010,999.0,-1.8,1.266,5099.1,0.0,1.0,0.0,0.0,1.0,
31735,999.0,-1.8,1.327,5099.1,0.0,1.0,0.0,0.0,0.0,
23906,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
35257,999.0,-1.8,1.25,5099.1,0.0,1.0,0.0,0.0,0.0,
31273,7.0,-1.8,1.334,5099.1,1.0,0.0,1.0,0.0,1.0,
35572,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
22349,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
20414,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
24085,999.0,-0.1,4.592,5195.8,0.0,1.0,0.0,0.0,1.0,
5188,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
31464,999.0,-1.8,1.334,5099.1,1.0,0.0,0.0,0.0,0.0,
17453,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
28467,999.0,-1.8,1.423,5099.1,0.0,1.0,0.0,0.0,1.0,
40831,999.0,-1.1,0.879,4963.6,0.0,1.0,0.0,0.0,0.0,
22976,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,0.0,
36700,999.0,-2.9,1.268,5076.2,0.0,1.0,0.0,0.0,0.0,
37002,999.0,-2.9,1.0590000000000002,5076.2,0.0,1.0,0.0,0.0,1.0,
26793,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
38859,999.0,-3.4,0.7140000000000001,5017.5,1.0,0.0,0.0,0.0,0.0,
40904,10.0,-1.1,0.977,4963.6,3.0,0.0,1.0,1.0,0.0,
39203,999.0,-1.8,0.652,5008.7,1.0,0.0,0.0,0.0,0.0,
15103,999.0,1.4,4.958,5228.1,0.0,1.0,0.0,1.0,0.0,
38818,999.0,-3.4,0.7140000000000001,5017.5,0.0,1.0,0.0,1.0,0.0,
30231,999.0,-1.8,1.365,5099.1,0.0,1.0,0.0,0.0,1.0,
20735,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,0.0,
13281,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,1.0,
37021,13.0,-2.9,1.044,5076.2,1.0,0.0,1.0,0.0,1.0,
18399,999.0,1.4,4.968,5228.1,0.0,1.0,0.0,0.0,0.0,
17919,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,
7348,999.0,1.1,4.864,5191.0,0.0,1.0,0.0,1.0,0.0,False
39619,3.0,-1.8,0.682,5008.7,2.0,0.0,1.0,0.0,1.0,
6958,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
31624,999.0,-1.8,1.327,5099.1,0.0,1.0,0.0,0.0,0.0,
8029,999.0,1.4,4.865,5228.1,0.0,1.0,0.0,1.0,0.0,False
19765,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
25041,999.0,-0.1,4.1530000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
20510,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
32756,999.0,-1.8,1.2990000000000002,5099.1,1.0,0.0,0.0,0.0,0.0,
11775,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,True
19267,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
13672,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
34579,999.0,-1.8,1.266,5099.1,1.0,0.0,0.0,0.0,0.0,
2643,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
27772,999.0,-1.8,1.703,5099.1,0.0,1.0,0.0,0.0,1.0,
6158,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,True
23346,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
24487,999.0,-0.1,4.191,5195.8,1.0,0.0,0.0,0.0,0.0,
15092,999.0,1.4,4.958,5228.1,0.0,1.0,0.0,0.0,0.0,
6806,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
38483,999.0,-3.4,0.728,5017.5,0.0,1.0,0.0,0.0,1.0,
9693,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
19295,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
30562,999.0,-1.8,1.354,5099.1,0.0,1.0,0.0,1.0,0.0,
26520,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
28744,999.0,-1.8,1.41,5099.1,1.0,0.0,0.0,0.0,0.0,
16685,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,1.0,
18666,999.0,1.4,4.968,5228.1,0.0,1.0,0.0,0.0,0.0,
29557,999.0,-1.8,1.405,5099.1,0.0,1.0,0.0,0.0,0.0,
32064,999.0,-1.8,1.3130000000000002,5099.1,0.0,1.0,0.0,0.0,0.0,
41161,999.0,-1.1,1.035,4963.6,1.0,0.0,0.0,0.0,0.0,
21202,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
38798,3.0,-3.4,0.7140000000000001,5017.5,3.0,0.0,1.0,0.0,0.0,
37577,999.0,-2.9,0.8690000000000001,5076.2,1.0,0.0,0.0,0.0,1.0,
26452,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
6,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
12881,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
30598,999.0,-1.8,1.354,5099.1,0.0,1.0,0.0,0.0,1.0,
19287,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
15814,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,0.0,0.0,
9818,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,False
21039,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
5343,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
39159,4.0,-1.8,0.655,5008.7,2.0,0.0,1.0,0.0,1.0,
13294,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
802,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
3041,999.0,1.1,4.859,5191.0,0.0,1.0,0.0,1.0,0.0,False
9825,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,False
25700,999.0,-0.1,4.12,5195.8,0.0,1.0,0.0,0.0,0.0,
38783,3.0,-3.4,0.7140000000000001,5017.5,1.0,0.0,1.0,0.0,0.0,
16552,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
158,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
21087,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
19227,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
33857,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
